categoria,codigo,descricao,unidade_medida,preco_unit,fornecedor,fonte
ADMINISTRATIVO,67,SAB. PREMISSE MORANGO E CHAMPAGNHE 5LTG,GL,32.26,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,192,SACO ALVEJADO GROSSO 42X68CM PRIMEPRO,UN,6.66,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,195,SACO BOB PIC 40X60CM +/-2.5KG LIDER,UN,71.58,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,197,SACO BOB.PIC. ATP 30X40 500UND,BB,67.0,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,201,SACO P/ BATATA - 100 UND,PC,13.0,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,202,SACO P/ PIPOCA N3 - 50 UNID,PCT,5.98,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,207,SACO PTO 40LTS P/LIXO GP,CT,24.8,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,208,SACO PTO 60LTS P/LIXO GP,CT,26.2,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,209,SACO PTO. 150L RF. MAXIMA P/LIXO,PC,58.03,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,213,T. PAPEL 2D VIRG.1000F 20X20 ALVEFLOR,PC,17.5,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,228,TENNIS EVA BRANCO 2BB80 WORKS,UN,139.9,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
ADMINISTRATIVO,216,TOUCA NOBRE BCA SANFONADA C/100UN,PC,15.3,Ideal Limpeza e Descartáveis,ARARA - PEDIDO LIMPEZA MARÃ_O 2026.pdf
